User,Rating,Date,Review
Hardiyanti Rukmana,1,2024-08-12 10:10:57,"Banyak drivernya attitude nya kurang,,mohon tambahkan tombol pengaduan atau keluhan di aplikasi"
DAENG MANGKASARA,5,2024-08-12 03:27:57,terima kasih
Anda Hetty,5,2024-08-11 13:25:12,mAntap
St aisyah Arief nur,5,2024-08-11 11:12:42,oke
Hasmawati Hana,5,2024-08-11 10:26:20,bgus
UD FADHILLAH,5,2024-08-11 09:12:55,anak 2 seneng naik maxiride
Ngai 0,5,2024-08-11 07:41:57,Sangat baik dan cocok pas hujan
tipa nanda,5,2024-08-11 06:45:48,sopan
Subhan nuhung,5,2024-08-11 05:39:07,Makasih pak mantap
Mas Riany,5,2024-08-10 12:56:58,mantap bajainya
nurlenni maswanna,5,2024-08-10 12:45:25,pelayanan driver nya baik sekali
Hamriah Yusuf,4,2024-08-10 04:11:23,dreriver bagus dan rama
Bang Faiz,1,2024-08-10 03:29:16,Jelek sekali
bukan hoax,2,2024-08-10 02:09:52,Ampungka pake ini apk drivernya rata2 nda tau pake maps.
Ramlah 92,5,2024-08-10 00:33:38,pelayanan sangat bagus.nyaman
Adri anti,3,2024-08-09 13:29:32,lumayan
Muh Raihan annasir Raihan,5,2024-08-09 11:41:01,nyaman
sukma Larah,5,2024-08-09 11:21:00,baik dan ramah
ryan endang,5,2024-08-09 08:00:53,ramah
Dewi Elizabeth,5,2024-08-09 07:22:21,The best ride cycles
Miftahul Ichsan,5,2024-08-09 06:46:50,bagus
Widya Permata Sari,5,2024-08-09 02:55:43,keren
Austin Adjeng,4,2024-08-09 02:43:23,mantul
yuliana kasir,5,2024-08-09 02:07:14,mantap pak
Athy Nurhayati,5,2024-08-09 01:16:39,klau boleh diadakan promo jugağŸ˜ŠğŸ˜ŠğŸ¤­
Sudarti Putri,5,2024-08-09 00:36:39,cepat tepat
Tojang Idris,5,2024-08-08 23:59:23,Good
Olvia Haria,5,2024-08-08 10:33:58,sopan
Norma Syam,5,2024-08-08 06:34:56,tepat waktu
Nur Lina,5,2024-08-08 05:58:56,baik
Nita Peon,5,2024-08-08 05:04:55,sopan dan ramah sopir driverx
aeidyl. rwin,5,2024-08-08 04:18:05,sangat memudahkn bagi ibuk ibu punya anak 2ğŸ˜Š
Subaedah Subedah,5,2024-08-08 00:17:59,goodjob
Scorpio 29,5,2024-08-07 08:50:19,sopan dan ramah
Gita Ramadhanty,5,2024-08-07 05:32:35,sopan dan ranah
Aksa Aksa,5,2024-08-07 04:02:30,semoga jadi lebih baik lagi
Asfah,5,2024-08-06 12:38:15,"Maa saya Allah, menyenangkan naik maxride"
Asti ahmad,5,2024-08-06 04:13:53,maxride nya cepat tiba dan sopirnya ramah makasih sudah mempermudah perjalanku hari ini
Andi Hudiah,5,2024-08-05 09:45:19,mantap sekali
Dasmira Daraba,5,2024-08-05 07:01:04,sangat nyaman
Sukma Wati,5,2024-08-05 02:23:07,trima ksih bxk atas tumpanganx
muhammad alwi,5,2024-08-04 23:45:44,sangat menyenangkan naik bajaj
Melkiana Boro,5,2024-08-04 13:05:50,bagus
Andriani Rusdin,3,2024-08-04 11:20:18,kendaraan tdk sampai pada alamat penjemputan.. agak lama kita menunggu
silfi fia,5,2024-08-04 11:16:15,bagus
Aci Basri,5,2024-08-04 07:50:26,sopan dan ramah
Husna ima Pampanoa,5,2024-08-04 07:47:36,baik
Leya Cataleya,5,2024-08-04 04:45:58,"supir bajai nya ramah, responnya cepat dan aman sampai rumah....alhamdulillah"
Wahida Idrus,5,2024-08-04 03:10:52,sangat baik
rida wati,5,2024-08-03 23:57:41,pokoknya bagusğŸ‘ğŸ‘ğŸ‘
Fadhila Dhila,5,2024-08-03 12:43:36,ramah dan sopan .
Maria Kodoatie,5,2024-08-03 10:44:52,aman
Syahr Channel,5,2024-08-03 08:22:18,cepat
Rosdiana Diana,5,2024-08-03 07:56:57,"baik,ramah"
Andi Marwah,5,2024-08-03 04:12:24,"Jadi pilihan pertama klo mau jalan2, palagi klo byk anak2, mereka suka skli naik maxride. Bisa jadi transport wisata dalam kota. Kan asyik bgt tuh keliling kota naik maxride."
Risanto Maspur,5,2024-08-02 13:11:12,sangat baik
Agus Mardeni,5,2024-08-02 12:35:51,sangat baik
almandari 10,5,2024-08-02 11:47:43,oke
Elmira Diah Sultannisa,3,2024-08-02 10:35:21,"Sudah di download tapi pas masuk ke dalam apknya kirim otp nya gak di kirim, meskipun sudah ganti nomer yang lain tetep sama"
Tri Lestari Wulandari,5,2024-08-02 06:03:17,sangat baik
St Maryam,5,2024-08-02 02:02:40,sangat baik
pipit urath13,5,2024-08-01 11:08:17,sopan
Oktavianus 20,5,2024-08-01 10:51:54,sangat ramah
Anundita Pramudawardani,5,2024-08-01 10:21:30,mantap
darma yhara,5,2024-08-01 06:27:52,baikğŸ‘ğŸ‘
Ri na,5,2024-07-31 12:23:26,baik semua
Afiyah Akhas,5,2024-07-31 05:05:08,sopan
Andi Sukri,5,2024-07-31 05:04:11,sangat puas
Nasruni runijj.,5,2024-07-31 03:32:41,sangat baik
La Palando,5,2024-07-30 09:33:55,cukup baik
Aqilah Anja,5,2024-07-29 13:21:53,sopan
Theo Theo,5,2024-07-29 12:07:56,sangat baik
Riki Teguh,5,2024-07-29 08:00:27,bgus
St Masita,5,2024-07-29 06:10:02,mantap
Rosmi Rosmi,5,2024-07-29 06:00:41,driver nya sangat ramah
Farida Laumma,5,2024-07-29 03:23:52,sangat baik
Rifaldi Rifal,5,2024-07-29 01:28:25,bagus
PKH Kab. Luwu,5,2024-07-28 23:27:19,bagus pelayanan nya
Andreas Riski,3,2024-07-28 07:02:22,"kok punya ku tertera mobil, kok Motor nya nggak Ada, cara nya gimana mengubah ke Motor, masa nggak bisa?"
Adzriel Afifah,5,2024-07-28 02:36:18,"maaf kurang setorku,knp dak komplain ki tadi atau itung"
nughy ayla,5,2024-07-28 02:19:58,sangat baik dan orgnya ramah
Nurliana Zainuddin,5,2024-07-28 01:06:37,"baik, ramah"
Kecuk Ferdinan,5,2024-07-28 00:33:42,trimakasih
Sarifah Musnayni,5,2024-07-27 10:28:06,sangat baik
Ros Mini,5,2024-07-27 07:15:33,sangat baik
Ida Wahyuningsih,5,2024-07-27 05:05:23,supir ramah
Rita Hanafi,5,2024-07-27 04:45:29,"baik, nyaman dan memuaskan"
Fina Messi,5,2024-07-27 03:02:43,sangat baik
Purnawan Opoh,5,2024-07-26 09:57:32,baik
AQILAH DAN QUEENA Wahyuni,5,2024-07-26 05:37:09,baik
Yenny Octaviana,5,2024-07-26 04:43:42,is the best
Andi Sartika Pratiwi Dewi,5,2024-07-26 02:42:26,is the best
Nita Yudasari Yusuf (nynitnot),5,2024-07-25 10:24:08,baik
Nur tasya Qomariah,5,2024-07-25 09:39:48,ok
Harianti Anti,5,2024-07-25 04:34:45,mantap
Reski Adelya,5,2024-07-24 12:02:38,baik
Hawaniah Hawaniah,5,2024-07-24 11:38:40,terima kasih
Husni Laego,5,2024-07-24 06:04:07,Alhamdulillah baik
Isna Ainun,5,2024-07-24 05:11:58,sangat baik
Hariyanti hariyanti,5,2024-07-24 05:06:00,baik
Sitti Harlina,5,2024-07-24 05:03:21,kurir sabu ramah dan baik hati
Fransisca Amaheka,5,2024-07-24 03:59:20,baik
Anto Anto,5,2024-07-24 02:04:40,driver is the best
Ayumaurafakih Maurafakih,5,2024-07-23 14:30:47,baik
Fify Ramadhani,5,2024-07-23 13:00:04,sangat baik
Syarifah khadijah alkaff,5,2024-07-23 12:30:05,"bagus,ramah orgnya mkasih pa"
asriansyah 24,5,2024-07-23 12:28:04,ramah baik sopan dan hafal jalan
Irma Wati,5,2024-07-23 10:18:21,drivernya sopan dan sangat membantu
Natalia Sari,5,2024-07-23 10:06:28,sangat baik
Muh arya anugrah,5,2024-07-23 09:56:55,sangat ramah dan bermanfaat
Siti Nurfadilah Asyura,5,2024-07-23 07:31:47,sangat baik
Firah Imfi,5,2024-07-23 02:32:27,sangat baik
Hafsah Khalid,5,2024-07-22 14:48:59,sangat baik
Martini Malokkeng,5,2024-07-22 11:34:26,mantap
Saddaq Saddaq,5,2024-07-22 07:20:32,pelayanan nya sangat bagus saya suka
Putri Febriyanti,5,2024-07-22 07:11:19,bagus
Selvia Fransiska,5,2024-07-22 02:23:33,sangat baik
Rizka Anggraeni,5,2024-07-22 02:05:47,pelayanan nya bagus
Adi Candra,5,2024-07-22 01:46:17,lebih bagus
Niswaty Jamil,5,2024-07-21 10:03:28,terimakasih banyak
Rahmawati Rahma,5,2024-07-20 11:47:16,sangat baik dan sopan
Markus Tatho,5,2024-07-20 10:32:43,makasih yaa pakğŸ™ğŸ™ğŸ™ğŸ‘ğŸ‘ğŸ‘ğŸ‘
Rudi Tappukz,5,2024-07-20 09:08:49,keren pelayanannya
Faisal. H. Ar,5,2024-07-20 09:07:23,perjalanan sangat menghibur ğŸ˜Š
Viani Yohanis,4,2024-07-20 01:11:18,Lumayan bagus pelayannya.
Milda Wani,5,2024-07-19 23:31:41,"terpercaya bisa mengantar kemana aja, Amanah pokoknya"
Muhammad Ramdan,5,2024-07-19 23:24:47,terbaik ğŸ‘ğŸ’¯
nwn_ nunaiidaily,5,2024-07-19 12:05:36,driver ramah
Fadillah Syahrah,5,2024-07-19 06:11:14,baik ğŸ‘
Andy Rachman,5,2024-07-19 05:17:11,driverx sopan dan jujur
Henny Triana,5,2024-07-19 04:00:27,aman
Syakir Lahamid,5,2024-07-19 02:19:11,"ramah, good driver,"
Balda Bachtiar,5,2024-07-18 13:09:18,sangat bermanfaat
Siti Barokah,5,2024-07-18 12:44:06,sangat Baik
Adity indra Irawan,5,2024-07-18 11:53:26,ok banget.murah dan berkualitas
Luh Sumartini,5,2024-07-18 11:10:46,pengemudinya ramah
Ummu Ubaid,5,2024-07-18 09:18:37,oke
sri wahyuni said,5,2024-07-18 06:25:29,driver ramah dan sangat membantu
Yudith Mangape,5,2024-07-18 00:59:28,sangat membantu sekali
Haidir Syahrir,5,2024-07-17 13:07:49,mantap
Rudi Andika,5,2024-07-17 10:24:49,good
Ribas Basri,5,2024-07-16 12:36:41,mantap driver nya ramah
akifa naila,5,2024-07-16 02:38:29,Ramah dan enak d ajak ngobrol
Nahar Papua,5,2024-07-15 08:58:27,ramah dan baik..makasih bang......
Nur Rifqy Z,5,2024-07-14 10:06:42,mantap
Rahma wati,5,2024-07-14 05:33:13,ğŸ‘ğŸ‘ğŸ‘ğŸ‘
Heri 84,2,2024-07-14 03:25:11,Maps nya masih belum settle.
Nardo Azalio Bangri,5,2024-07-13 18:45:04,Keren
Lotty Metekohy,5,2024-07-13 14:46:31,"Driver ramah, kondisi bajaj bersih, kadang dapat yang ada speaker jadi di putar lagu ğŸ˜ğŸ‘ŒğŸ» saya sangat senang dengan adanya maxride . Lebih menikmati perjalanan. Biayanya juga terbilang murah . Saran saya, agar di sediakan rating & ulasan kepada driver . The best sih maxride ğŸ‘ŒğŸ»"
daud borce,5,2024-07-13 10:07:05,"asyik. hemat, cepat klo ndaa macet."
Wirna Mutmainna,5,2024-07-13 02:48:47,sangat memuaskan
Aira Azka,5,2024-07-12 09:50:07,nyaman & aman
Muhammad Reza,5,2024-07-11 17:44:10,server mantap cepat datang dan server nya rapi pokonya Ok
Upi Nilam Sari,5,2024-07-11 12:17:46,senang sekali naik maxride
Ervina Yanti,5,2024-07-11 07:13:02,drivernya ramah
MUTAWADDIAH NASRAN,5,2024-07-11 02:33:08,pelayanan ramah dan baik. terimakasih
Faisal Bustam,5,2024-07-10 11:38:46,mamtap
Adit Muh,5,2024-07-10 08:43:08,baik
Rudianto Paloli,5,2024-07-10 02:36:32,sangat membntu.. layanannya juga baik ğŸ‘ğŸ‘
Agil Agil,5,2024-07-09 11:26:52,mantap & nyamann
Euis Kartika Ekawati,5,2024-07-09 03:43:21,menyenangkan ğŸ˜
Nafa Na,5,2024-07-09 00:02:00,"bagus,semua pengemudi ny ramahğŸ¤­"
Shofia Malika,5,2024-07-08 09:35:50,sangatt memuaskan
Al Fath Qeis Saleh,5,2024-07-08 06:01:07,ğŸ‘ğŸ‘ğŸ‘ğŸ‘ğŸ‘
Ramadhan,5,2024-07-08 05:46:14,good
Opo umar Opo ungke,5,2024-07-08 04:05:47,Belum dicoba
Syahrina Inha,4,2024-07-08 03:23:36,membantu
HARUN B,5,2024-07-08 00:23:31,omnya baik sekali
Sukina Sukina,5,2024-07-07 08:26:10,Driver ramah perjalananku lancar
Yuphe Yu2n,5,2024-07-07 07:56:51,"wihhh keren banget, nyaman banget deh"
JAMALUDDIN,5,2024-07-07 06:00:11,Alhamdulillah Driver nya Ramah dan baik
fatmawati sanra,5,2024-07-07 02:07:52,Good
Abd Rahman,5,2024-07-06 14:12:30,drivernya ramah dan ğŸ‘
Afandy Sain,5,2024-07-06 13:25:17,murah dan cepat sampai ditujuan..
inii sulis,5,2024-07-06 09:36:27,ramaa
Ilham Tompunu,4,2024-07-06 09:06:58,baik
Alwy ONEFEE,5,2024-07-06 02:25:17,driver nya ramah
nurlinda linda,5,2024-07-05 08:12:01,"lebih mudah kemana"" , dan driver jg berhati"" dlm berkendara"
Raihani Raih,5,2024-07-05 03:03:37,mantap
Retha Ine,5,2024-07-05 00:10:45,mantap
Alimuddin Ali,5,2024-07-04 14:34:25,Lebih di tingkatkan aplikasinya supaya lebih cepat mengaksesnya ... Luar Biasa
merdhy mer,5,2024-07-04 09:29:27,sangat puasssss
ASR 125 (â€«Ù…Ø­Ù…Ø¯ Ø§ØµØ±Ø¦â€¬â€),5,2024-07-04 08:53:20,"mantap, drivernya ramah sangat menyenangkan ğŸ‘"
fatimah oetomo,5,2024-07-04 05:43:36,pelayanan baik
Yunita Padandi,5,2024-07-04 03:18:28,mantap aplikasinya akhirnya impian saya terwujud untuk naik bajai terimah kasih developer telah membuat aplikasi ini ğŸ™ğŸ»
Rina Sudirman,5,2024-07-04 02:29:14,Baik sekali
Halijah R,5,2024-07-03 11:25:43,sangat membantu
Firdaus Firdaus,5,2024-07-03 08:31:20,Sangat membantu
Diman Ahmadi,5,2024-07-03 07:29:24,drivernya ramah dan murah senyum
Muliadi Marhaban Adhy,5,2024-07-03 04:17:08,membantu
ANITA S,5,2024-07-03 01:18:18,Baik dan Ramah
eri tahir,5,2024-07-02 07:28:56,drivernya ramah..
Ramdhani Eka Saputra,5,2024-07-02 05:54:54,jadi ngantuk..... karena ga panas alias sepoi-sepoiğŸ¥°
Ulfa Fifti,5,2024-07-02 05:51:16,mantap
BSC dru,5,2024-07-02 05:18:23,app sangat bagus
HjSyarifah Nuheriah12,5,2024-07-02 01:33:42,baik dan ramah
Salma 24,5,2024-07-01 12:15:36,baik ramah sopan.
Arfat Morins,5,2024-07-01 06:43:37,sangat membantu terima kasih
Andidarmawan 98,5,2024-07-01 05:57:26,ramah dan baik
bongko_ Daeng,5,2024-07-01 02:24:24,pengalaman pertama naik maxride. Driver ramah banyak memberi masukan dan info tentang maxride.
Nanna T.,5,2024-07-01 00:15:12,Alhamdulillah sdh sampai bajai nya bagus banget
Nelsy Itamar,5,2024-06-30 10:58:52,Terima kasih karena kami telah tiba dgn selamat... pelayanannya sangat baik ğŸ™‚
Khadry Stiem,5,2024-06-30 06:59:26,bagus
Athakia Athakianic,5,2024-06-30 05:07:17,sgt baik
rais morris,5,2024-06-30 02:00:13,mantapğŸ‘
Margen Isnof,3,2024-06-29 08:13:58,"Tolong sampaikan ke para driver bahwa maxride memakai kupon potongan harga agar setiap driver paham, driver memberikan harga tidak sesuai dengan potongan/diskon yang telah berlaku"
Rosmi Atii,5,2024-06-29 06:45:01,nyaman aman santai
Teja Ahmad Nurnantian 0003,5,2024-06-28 10:47:08,Baik
Marchel Toding,5,2024-06-28 08:08:54,baik
Syaharuddin Syahar,5,2024-06-28 06:25:39,drivernya sangat ramah
Ruslan Culank,5,2024-06-27 02:01:40,mantap
sari puspita,5,2024-06-27 01:49:07,Tepat waktu dan pelayanan baik
faura aura,5,2024-06-27 01:03:54,pelayanan yang diberikan sangat baik
YULIANA JUNI,5,2024-06-26 23:12:03,pelayanan bagus
Diana papilaya Dian,5,2024-06-26 13:45:11,mantap
Eni Handayani,5,2024-06-26 05:39:04,ğŸ˜keren
Salma Rahman,5,2024-06-26 05:00:51,"bagus banget, ada aplikasi ini membantu saya bs kemana-mana dan pesan nya jg mudah, makasih"
Nia Indriani,5,2024-06-26 00:22:04,terima kasih ğŸ™
Akun Hilman,5,2024-06-25 03:48:29,Mantap
Mahmud Rauf,5,2024-06-24 01:49:54,ok
dwi andhani,5,2024-06-24 01:45:10,pelayanannya sangat memuaskan
Ravina Pole,5,2024-06-24 00:02:17,mantap
Rati 20,5,2024-06-23 13:32:27,ramah dan sopan
Muhammad Agil Azhari,4,2024-06-23 11:15:18,Tingkatkan lagi dan perbanyak fitur ulasan driver sehingga bs memberikan saran dan kesan utk driver dan mitra terbaik
Awaluddin Hasbi,5,2024-06-23 10:48:28,"puas, Murah tapi bukan murahan"
Keisha Sabira,5,2024-06-23 09:52:31,bagus banget ramah
Cakra Viola,5,2024-06-23 01:18:14,"memuaskan,seru..!!!"
CITRA ALIAH,5,2024-06-22 13:12:38,mantap
Jasman Mukhtar,5,2024-06-22 06:52:36,Alhamdulillah bagus...
Muchlizt,5,2024-06-22 04:16:10,Mantap
Nanda Semarang,1,2024-06-21 12:40:08,watsap
Rivai 180990,5,2024-06-21 11:49:30,manfad
masrianti anti,5,2024-06-21 04:47:27,"pelayanan mantap, bersih... cuma kurangnya belum tersedia dibanyak tempat"
Ruslan S.M,5,2024-06-21 03:11:33,drivernya ramahh
Raisha Sukma,5,2024-06-19 01:31:34,"Sangat membantu dan tarif terjangkau ,pertahankan. ğŸ‘"
samsul arifin,2,2024-06-18 05:38:03,untuk di jakarta kpn ya bisa on?
Syarifuddin Amir,5,2024-06-18 01:14:29,pelayanan baik
Wahidah Idah,5,2024-06-17 11:36:43,driver yg sangat baik
Ismi Nurul,1,2024-06-17 08:43:08,"TOLONG MAXRIDE (makassar) Saya di turunkan di jalan Belum sampai tujuan. Jalur yang dia pilih tertutup karena ada potong qurban. Saya arahkan ke jalur lain yang biasa maxride lewati juga dia tidak mau dan saya disuruh minta bayaran tambahan. Dan bapak ini marah marah membentak, dia bilang salah titik. Saya tanya apanya salah titik dia diam. Dia mau pasang 2 titik padahal tujuan saya hanya 1 titik"
Affan Raniya,5,2024-06-17 05:15:09,mantap
Nur Ariska,5,2024-06-16 08:31:14,baik dan ramah
Arisma Wati,4,2024-06-15 06:22:40,sangat memuaskan
Saenab Nurdin,5,2024-06-15 02:04:28,Drivernya mantap
khadijah 06,5,2024-06-14 09:52:31,Sangat bagus ğŸ‘
Nurmayanti Anti,5,2024-06-14 09:38:53,Terimakasih SDH mengantar ketujuan yg tepat walaupun tak sesuai titikğŸ™
kay hanifah,5,2024-06-13 11:43:37,luas keren nyaman
Nurfitriyana Qadria,5,2024-06-13 08:45:26,"ramah pengemudinya, bersih maxridenya, cepat tanggap setelah diorder. sukses selalu!"
Nha Na,5,2024-06-13 08:30:32,baik
MAMI DAN PALO,5,2024-06-13 05:07:00,"mantappp, syukaaa"
Andi Nillang,5,2024-06-13 04:16:02,mantap
Suriaty Suriaty,5,2024-06-13 04:06:59,drifer sopan
Shinta Lie,5,2024-06-12 10:39:12,terimakasih banyakğŸ˜ğŸ™the best driver
Masita Syam,5,2024-06-12 09:45:48,drivernya baik
amdan ly,4,2024-06-12 08:14:21,ğŸ‘
Putri Puja Pertiwi,4,2024-06-11 16:25:33,"Sebenarnya cukup menyenangkan menggunakan maxride, hanya saja masih perlu ditingkatkan keamanannya terutama pada pintu, terlalu rendah dan kemungkinan beresiko bagi anak2, pintu perlu di modifikasi agar penumpang tetap aman dan nyaman, sekian dan terimakasih perhatiannya."
Supar No,4,2024-06-11 11:11:10,penjemputan cepatğŸ‘ğŸ‘ğŸ‘
Fitriani Fitri,5,2024-06-11 04:06:47,ramah
Jufianita Sari,5,2024-06-11 03:47:19,sangat baik
Ati Nurhayatimalik,5,2024-06-10 02:39:28,Baik
Idris US. Pikoli,5,2024-06-10 01:45:49,sangat mantap
Masita Ibrahim,5,2024-06-09 09:30:58,bagus
Hardiyanti Dhian17,5,2024-06-09 04:43:09,Mantap
Dandy Rivera,5,2024-06-08 17:58:23,puas sama pelayanan maxride
Revolusi Biru,5,2024-06-08 15:27:01,sangat membantu bagi yang tidak punya kendaraan
Laila Abubakar,5,2024-06-08 11:26:58,"Transportasi yang sangat membantu . Selain murah, Bisa muat banyak, Aman dari kepanasan dan kehujanan, pokonya top."
Ramli Jenta,5,2024-06-08 11:25:47,mantap
Rina Gassing,5,2024-06-08 11:04:39,sangat baik
